cpu_mean,cpu_max,cpu_variance,ram_mean,ram_growth_rate,swap_percent,network_mean,network_symmetry,net_variance,udp_tcp_ratio,disk_io_mean,process_count_mean,thread_count_mean,load_avg,ctx_switches_per_core,cpu_user_system_ratio,psi_cpu_some,psi_mem_some,psi_io_some,vscode_active,browser_active,compiler_active,target
6.68,23.5,39.490833333333335,17.704,-4.300000000000001,0.0,0.01156391143798828,0.1307939209802343,0.00019276857229115092,0.7766656677922987,0.35016519058461426,291,1214.56,0.1255615234375,461.37,3.618074746917,0.1052,0.0,0.0,1,1,0,0
6.4239999999999995,23.5,40.42523333333333,17.532,-4.399999999999999,0.0,0.012836837768554687,0.12749101066795193,0.0002103517912379094,0.7766656677922985,0.3522455167111079,290,1211.32,0.12720703125,456.295,3.62352834602108,0.0996,0.0,0.0,1,1,0,0
6.376,23.5,40.79523333333333,17.356,-4.300000000000001,0.0,0.01275390625,0.1283200133993099,0.00021151267147828198,0.7766656677922987,0.3471864229031315,290,1207.64,0.1288525390625,447.285,3.6826336279540173,0.09480000000000001,0.0,0.0,1,1,0,0
6.324,23.5,41.250233333333334,17.184,-4.399999999999999,0.0,0.01275775909423828,0.12634965628765252,0.00021184158088914925,0.7766656677922987,0.35875712284240113,290,1203.96,0.13037353515625,436.09,3.6360845149587817,0.09,0.0,0.0,1,1,0,0
6.132000000000001,23.5,42.181433333333324,17.004,-4.499999999999998,0.0,0.012473030090332031,0.12478094521527838,0.00021228640255613644,0.7809513705984442,0.3599795810612344,290,1200.28,0.13189453125,398.59,3.5677407845998417,0.0864,0.0,0.0,1,1,0,0
5.744000000000001,23.5,41.605900000000005,16.82,-4.699999999999999,0.0,0.012379379272460937,0.11323254796309223,0.0002125207884334944,0.7809513705984442,0.36011474506694513,289,1195.96,0.13300537109375,357.605,3.324136784780414,0.0832,0.0,0.0,1,1,0,0
5.112,23.5,35.71776666666666,16.632,-4.800000000000001,0.0,0.00978515625,0.1412565494006469,0.0002183281604700128,0.7885703988675666,0.3608603324972988,289,1191.6,0.1341162109375,328.31,2.926469512327369,0.08,0.0,0.0,1,1,0,0
4.38,23.5,26.561666666666667,16.44,-4.800000000000001,0.0,0.009633636474609375,0.11651619545372409,5.6231831396155863e-05,0.7961894271366892,0.36100160316578467,289,1187.24,0.1335107421875,293.9,2.8961527322489764,0.0772,0.0,0.0,1,1,0,0
4.152,23.5,26.569266666666664,16.248,-4.800000000000001,0.0,0.009727859497070312,0.11498764754278268,5.72231486443411e-05,0.8004751299428347,0.3607834031043455,289,1182.88,0.1329052734375,279.395,2.7952744900494175,0.0752,0.0,0.0,1,1,0,0
3.968,23.5,26.6306,16.056,-4.699999999999999,0.0,0.0085198974609375,0.11698993480855993,5.6568631195436695e-05,0.8047608327489801,0.3612779844019372,288,1178.52,0.131923828125,275.915,2.7755894584294585,0.0732,0.0,0.0,1,1,0,0
3.9479999999999995,23.5,26.718433333333333,15.868,-4.800000000000001,0.0,0.008498077392578124,0.12019014956942438,4.2967791541403776e-05,0.8047608327489801,0.36104080524830484,288,1174.36,0.130966796875,269.36,2.739998904000402,0.0716,0.0,0.0,1,1,0,0
3.8680000000000003,23.5,26.869766666666667,15.676000000000002,-4.800000000000001,0.0,0.008543624877929687,0.12560835126704228,4.2587072301536276e-05,0.8047608327489801,0.37202247574225,288,1170.2,0.130009765625,258.12,2.6598349754774753,0.0704,0.0,0.0,1,1,0,0
3.6919999999999997,23.5,26.862433333333332,15.483999999999998,-4.800000000000001,0.0,0.008708114624023438,0.12366938557318852,4.2586639376804073e-05,0.8047608327489801,0.36523777258108076,288,1166.04,0.129052734375,251.975,2.6317980620091785,0.06920000000000001,0.0,0.0,1,1,0,0
3.592,23.5,27.027433333333345,15.288,-4.900000000000002,0.0,0.008595237731933594,0.12580386030416518,4.239900679733116e-05,0.8147608035823778,0.36489714704009285,287,1161.88,0.1277490234375,224.715,2.632285815118398,0.068,0.0,0.0,1,1,0,0
3.364,23.5,26.56573333333333,15.095999999999998,-4.899999999999999,0.0,0.008443031311035156,0.12080206389528347,4.259577632986065e-05,0.8147607869157598,0.36453993464961926,287,1157.76,0.12646728515625,196.905,2.1941736921486816,0.06680000000000001,0.0,0.0,1,1,0,0
2.764,23.5,19.020733333333332,14.9,-4.899999999999999,0.0,0.008492355346679687,0.10553763778914241,4.26780353929809e-05,0.8280940832121343,0.35919391416391155,287,1153.64,0.125185546875,174.82,2.239794775614869,0.066,0.0,0.0,1,1,0,0
2.6679999999999997,23.5,19.003933333333336,14.703999999999999,-4.800000000000001,0.0,0.008438606262207032,0.10481300827661659,4.275062413954374e-05,0.8414273795085088,0.33217446494744757,287,1149.64,0.12390380859375,168.355,2.2371122489112896,0.06520000000000001,0.0,0.0,1,1,0,0
2.64,23.5,19.050833333333333,14.512,-1.6999999999999993,0.0,0.009677848815917968,0.10132479828418194,6.231517197477566e-05,0.8457130823146543,0.33131778009452917,286,1145.64,0.122705078125,131.62,1.7718108914021427,0.0644,0.0,0.0,1,1,0,0
1.764,3.4,0.1657333333333333,14.443999999999999,-1.3999999999999986,0.0,0.009431686401367188,0.06861991700545764,6.22028328016861e-05,0.8557130531480517,0.30934651694950477,286,1144.32,0.12072509765625,118.97,1.8768102341955941,0.0636,0.0,0.0,1,1,0,0
1.7560000000000002,3.2,0.14006666666666667,14.388,-0.3999999999999986,0.0,0.00921661376953125,0.06949273202845314,6.376444970164267e-05,0.8657130239814493,0.3360172064731746,286,1143.08,0.1187451171875,119.67,1.8461525551380489,0.055600000000000004,0.0,0.0,1,1,0,0
1.844,4.5,0.43339999999999995,14.372,-0.29999999999999893,0.0,0.009039077758789062,0.07000936890674979,6.577997593220347e-05,0.875712994814847,0.33589631172004075,286,1142.24,0.1164404296875,121.09,1.81290205619224,0.0476,0.0,0.0,1,1,0,0
1.8639999999999999,4.5,0.44156666666666666,14.36,-0.29999999999999893,0.0,0.008824081420898437,0.07252786207699993,6.717238578901301e-05,0.8857129656482446,0.3361429794968135,286,1141.4,0.1141357421875,123.035,1.7577628833772343,0.04120000000000001,0.0,0.0,1,1,0,0
1.9120000000000001,4.5,0.4627666666666667,14.347999999999999,-0.1999999999999993,0.0,0.008617591857910157,0.07908191496390482,6.812106403586368e-05,0.8914272336754966,0.33551470796170973,286,1140.68,0.112314453125,122.52,1.7349387138922439,0.036000000000000004,0.0,0.0,1,1,0,0
1.8880000000000001,4.5,0.47776666666666684,14.340000000000002,-0.1999999999999993,0.0,0.008393592834472656,0.08119236659918652,7.000820001960968e-05,0.8971415017027486,0.6089476223059502,286,1140.0,0.1104931640625,120.76,1.7454534876039771,0.0308,0.0,0.0,1,1,0,0
1.88,4.5,0.4858333333333333,14.332,-0.1999999999999993,0.0,0.00810100555419922,0.06613204748441992,7.154246749316812e-05,0.9028557697300008,0.3819305955080426,286,1139.36,0.1091748046875,115.995,1.7361952538680423,0.0264,0.0,0.0072,1,1,0,0
1.8880000000000001,4.5,0.48776666666666674,14.324000000000002,-0.1999999999999993,0.0,0.006452751159667969,0.06379356211720733,7.325441443942596e-05,0.9085700377572526,0.3787847669421218,286,1138.68,0.1078564453125,113.985,1.739392885216529,0.0228,0.0,0.0128,1,1,0,0
1.8840000000000001,4.5,0.49056666666666665,14.316,-0.1999999999999993,0.0,0.006436004638671875,0.07918632494796471,4.410815829821241e-05,0.9142843057845047,0.42870292447529806,286,1138.0,0.10698486328125,112.24,1.7256087038971017,0.019200000000000002,0.0,0.0184,1,1,0,0
1.868,4.5,0.48976666666666663,14.308000000000002,-0.1999999999999993,0.0,0.0061834716796875,0.08242029414617004,4.515289384580412e-05,0.9199985738117568,0.42858043270241003,286,1137.52,0.10611328125,110.24,1.754600150552138,0.0164,0.0,0.023200000000000002,1,1,0,0
1.864,4.5,0.4932333333333334,14.300000000000002,-0.09999999999999964,0.0,0.006065788269042968,0.0908113275176509,4.5617502736972224e-05,0.9257128418390088,0.4170174260139589,286,1137.04,0.10490234375,109.695,1.7378038184123434,0.0136,0.0,0.028000000000000004,1,1,0,0
1.852,4.5,0.5059333333333335,14.296000000000001,0.0,0.0,0.005678558349609375,0.09204621792226221,4.654514582598519e-05,0.9314271098662609,0.415431952708855,286,1136.56,0.10369140625,107.78,1.7924517028606783,0.011200000000000002,0.0,0.031599999999999996,1,1,0,0
1.8519999999999999,4.5,0.5059333333333333,14.296000000000001,0.0,0.0,0.004546699523925782,0.09614981248188885,4.70461697910782e-05,0.9414270806996583,0.415545780264876,286,1136.72,0.102890625,106.93,1.7515517071106073,0.0096,0.0,0.0348,1,1,0,0
1.9240000000000002,4.5,0.6577333333333332,14.296000000000001,0.0,0.0,0.005246658325195313,0.1726359260700851,4.21822691078699e-05,0.9404746931713364,0.417770034818769,286,1137.4,0.10208984375,117.0,1.8012037342145963,0.008,0.0,0.038,1,1,0,0
1.9680000000000002,4.5,0.6764333333333336,14.296000000000001,0.0,0.0,0.005101699829101563,0.17754116257026767,4.290381147498151e-05,0.9395223056430143,0.41825964485427636,286,1138.0,0.1009765625,119.66,1.8176459896199701,0.0068,0.0,0.0404,1,1,0,0
1.98,4.5,0.6658333333333334,14.296000000000001,0.0,0.0,0.004984169006347656,0.18172772985617514,4.3521525736973906e-05,0.9319032625591183,0.4186234979429807,286,1138.6,0.09986328125,120.505,1.8235283391009358,0.005600000000000001,0.0,0.0424,1,1,0,0
1.9800000000000002,4.5,0.6658333333333332,14.296000000000001,0.0,0.0,0.005143966674804688,0.20261631787222004,4.36003869701134e-05,0.9242842194752221,0.418506135621532,286,1139.2,0.0991259765625,119.4,1.8235283391009358,0.0044,0.0,0.0444,1,1,0,0
1.9760000000000002,4.5,0.6694000000000001,14.296000000000001,0.0,0.0,0.004726943969726563,0.20954048775594736,4.4258068505335365e-05,0.9209508791974715,0.4187480999779388,286,1139.8,0.098388671875,117.515,1.7999989411769397,0.0036,0.0,0.046,1,1,0,0
1.944,4.5,0.6934,14.296000000000001,0.0,0.0,0.004470634460449219,0.23040232091616195,4.3704556493686805e-05,0.9176175389197209,0.4075295575588229,286,1140.4,0.09736328125,115.855,1.8263462117686908,0.0028000000000000004,0.0,0.0472,1,1,0,0
1.94,4.5,0.6966666666666667,14.296000000000001,0.10000000000000142,0.0,0.004257583618164062,0.2373712032950688,4.38591108427866e-05,0.9142841986419704,0.40631370423090174,286,1141.0,0.096337890625,114.09,1.8433723835107518,0.002,0.0,0.0484,1,1,0,0
1.9520000000000002,4.5,0.6917666666666668,14.300000000000002,0.0,0.0,0.004017715454101563,0.25154288752348475,4.431873170499642e-05,0.9009508875308222,0.4057070121945023,286,1141.4,0.0956591796875,115.79,1.8502982932346874,0.0016,0.0,0.0492,1,1,0,0
1.9480000000000002,4.5,0.6951,14.300000000000002,0.0,0.0,0.0037490463256835936,0.26956928743404424,4.466634495366072e-05,0.8876175764196741,0.4059521318140441,286,1141.88,0.09498046875,114.42,1.861444661780247,0.0012,0.0,0.05,1,1,0,0
1.944,4.5,0.6984,14.300000000000002,0.0,0.0,0.0035472869873046874,0.28380471018083875,4.484595172358263e-05,0.8742842653085259,0.40534556487032203,286,1142.36,0.0940380859375,112.07,1.8787867401292924,0.0008,0.0,0.0508,1,1,0,0
1.984,4.5,0.7097333333333334,14.300000000000002,0.0,0.0,0.0021866607666015626,0.41493667352124947,4.4806912026715974e-05,0.8609509541973778,0.40522300195336064,286,1142.84,0.093095703125,114.815,1.8313942840731146,0.0004,0.0,0.0512,1,1,0,0
2.088,4.5,0.8752666666666665,14.300000000000002,0.0,0.0,0.0036806106567382813,0.49022127791376674,5.798465198401375e-05,0.8488874864220769,0.4133774630488594,286,1143.6,0.0920703125,129.44,1.8076913144553086,0.0,0.0,0.0516,1,1,0,0
2.1279999999999997,4.5,0.8745999999999999,14.300000000000002,0.0,0.0,0.006923446655273438,0.4316616527244335,0.00020712639624159715,0.8388875155886792,0.41582575570848257,286,1144.32,0.091044921875,129.325,1.9473672822414045,0.0,0.0,0.052000000000000005,1,1,0,0
2.068,4.5,0.8306,14.300000000000002,0.0,0.0,0.0071844482421875,0.4199728145419889,0.00020624928258923094,0.8274589700103951,0.38976939348554646,286,1145.0,0.089775390625,128.125,1.9811308294774834,0.0,0.0,0.0524,1,1,0,0
1.9520000000000002,4.1,0.5792666666666667,14.300000000000002,0.0,0.0,0.007444000244140625,0.407768781385632,0.00020489655148181221,0.820792314454821,0.3909847720462913,286,1145.56,0.08883056640625,126.825,2.065788114612946,0.0,0.0,0.0528,1,1,0,0
1.92,4.1,0.5816666666666667,14.300000000000002,0.0,0.0,0.007610015869140625,0.39387043089249757,0.00020362300637569796,0.8141256588992469,0.39049538758789176,286,1146.08,0.0878857421875,129.12,2.081631236985558,0.0,0.0,0.0528,1,1,0,0
1.876,4.1,0.5585666666666665,14.300000000000002,0.0,0.0,0.007988700866699219,0.3763937369561673,0.00020284394334043186,0.8074590033436729,0.39037835926203907,286,1146.56,0.08694091796875,131.515,2.0743229227549467,0.0,0.0,0.0528,1,1,0,0
1.8920000000000001,4.1,0.5457666666666666,14.300000000000002,0.0,0.0,0.008550186157226563,0.36399450338468264,0.00020200832330717752,0.7960304577653887,0.11682341502393337,287,1147.04,0.085771484375,133.09,2.073824111527222,0.0,0.0,0.0528,1,1,0,0
1.916,4.1,0.5305666666666666,14.300000000000002,0.0,0.0,0.009696121215820313,0.3247133898278973,0.00020958978927024255,0.7893638022098147,0.11109434035183838,287,1147.52,0.08409912109375,134.47,2.067566170563336,0.0,0.0,0.0456,1,1,0,0
1.9080000000000001,4.1,0.5290999999999999,14.300000000000002,0.0,0.0,0.009613113403320312,0.31732287838859485,0.000208390555955174,0.7826971466542407,0.3739769395220852,287,1147.84,0.0824267578125,137.105,2.046665302223241,0.0,0.0,0.04,1,1,0,0
1.9080000000000001,4.1,0.5290999999999998,14.300000000000002,0.0,0.0,0.009812698364257813,0.3112185791912763,0.0002083543417833756,0.7760304910986666,0.3247791172469492,287,1148.16,0.08075439453125,139.055,2.0132436998385974,0.0,0.0,0.03440000000000001,1,1,0,0
1.916,4.1,0.5272333333333333,14.300000000000002,0.0,0.0,0.009895401000976562,0.30557204647494784,0.00020671693985491475,0.7693638355430924,0.3250236648210668,287,1148.48,0.078876953125,142.45,1.95512695184152,0.0,0.0,0.0296,1,1,0,0
1.9480000000000002,4.1,0.5184333333333332,14.300000000000002,0.0,0.0,0.009895401000976562,0.30557204647494784,0.00020764801814793566,0.7626971799875186,0.3285385817877684,287,1148.8,0.0773388671875,148.055,1.865852520821616,0.0,0.0,0.024800000000000003,1,1,0,0
1.9680000000000002,4.1,0.4972666666666667,14.300000000000002,0.0,0.0,0.009895401000976562,0.30557204647494784,0.00020764801814793566,0.762697166654234,0.32890130948669316,287,1149.04,0.07580078125,147.895,1.9130422900360657,0.0,0.0,0.0212,1,1,0,0
1.944,4.1,0.5200666666666666,14.300000000000002,0.0,0.0,0.008964920043945312,0.2853921109727867,0.0002075645768634021,0.7626971533209496,0.3286626067796407,287,1149.28,0.0742626953125,137.47,1.858063317378562,0.0,0.0,0.018,1,1,0,0
1.928,4.1,0.46459999999999996,14.300000000000002,0.0,0.0,0.009197769165039062,0.2881168244055172,0.00020291671190074723,0.7693637955432391,0.3313042064078079,287,1149.0,0.07333740234375,142.44,1.8544292060576009,0.0,0.0,0.0148,1,1,0,0
1.8759999999999997,4.1,0.4485666666666666,14.300000000000002,0.0,0.0,0.009435997009277344,0.2808428235872524,0.00020100713250097244,0.7760304377655288,0.33081336253931853,287,1149.0,0.072724609375,140.74,1.8717936719271775,0.0,0.0,0.019600000000000003,1,1,0,0
1.872,4.1,0.4504333333333334,14.300000000000002,0.0,0.0,0.009173164367675781,0.2713239544379054,0.00020034791375160135,0.7893637355433927,0.33070064186397247,287,1149.0,0.07211181640625,142.595,1.8653834196262087,0.0,0.0,0.023200000000000002,1,1,0,0
1.8799999999999997,4.1,0.44749999999999984,14.296000000000001,-0.10000000000000142,0.0,0.009932289123535156,0.26359896915430175,0.00020245015675426534,0.8026970333212563,0.3308163571186493,287,1149.0,0.071259765625,144.04,1.866240849528315,0.0,0.0,0.0268,1,1,0,0
1.896,4.1,0.44123333333333337,14.296000000000001,0.0,0.0,0.009998321533203125,0.2575238458593761,0.00020088725011558088,0.8160303310991199,0.3305717870943054,287,1149.0,0.07040771484375,148.14,1.8679233535075144,0.0,0.0,0.03,1,1,0,0
1.916,4.1,0.4222333333333333,14.296000000000001,0.0,0.0,0.010225944519042969,0.2517915297285686,0.00019978069009716573,0.8293636288769838,0.33129757442922303,288,1149.0,0.06984375,149.49,1.8742126577278622,0.0,0.0,0.0328,1,1,0,0
